radical	meaning_vi	contexts	words	mnemonic	review_prompt
攵	động tác gõ/chạm, hành vi	thay đổi; giáo dục; chính sách	改变 (gǎibiàn) - thay đổi; 故事 (gùshi) - câu chuyện; 政府 (zhèngfǔ) - chính phủ	攵 như bàn tay cầm que tác động vào vật.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
礻	thần linh, nghi lễ	văn hóa; chúc phúc; xã hội	社会 (shèhuì) - xã hội; 祝福 (zhùfú) - chúc phúc; 礼物 (lǐwù) - quà	礻 là biến thể của 示, thường gắn với ý nghĩa tinh thần/lễ nghi.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
衤	quần áo, trang phục	mặc đồ; phong cách; nhiệt độ	裤子 (kùzi) - quần; 裙子 (qúnzi) - váy; 衬衫 (chènshān) - áo sơ mi	衤 là biến thể của 衣, nằm bên trái chữ.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
虫	côn trùng, động vật nhỏ	động vật; tự nhiên; sinh học	虽然 (suīrán) - mặc dù; 蛇 (shé) - rắn; 蛋糕 (dàngāo) - bánh kem	虫 mô phỏng thân côn trùng có đầu và chân.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
酉	rượu, lên men	đồ uống; hương vị; tỉnh táo	醒 (xǐng) - tỉnh; 配 (pèi) - phối hợp; 酒 (jiǔ) - rượu	酉 như bình rượu cổ.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
穴	hang, lỗ	không gian; nghiên cứu; cấu trúc sâu	研究 (yánjiū) - nghiên cứu; 空间 (kōngjiān) - không gian; 突然 (tūrán) - đột nhiên	穴 là mái + lỗ trống phía dưới, gợi hình hang.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
耳	tai, nghe	liên lạc; nghề nghiệp; nhận thức	联系 (liánxì) - liên hệ; 职业 (zhíyè) - nghề nghiệp; 聪明 (cōngming) - thông minh	耳 giống tai nhìn nghiêng.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
皿	đĩa, vật chứa	đồ dùng; lợi ích; hộp chứa	盘子 (pánzi) - đĩa; 利益 (lìyì) - lợi ích; 盒子 (hézi) - hộp	皿 như cái đĩa nhìn từ trên.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
戈	giáo mác, tấn công	hành động; thành công; chiến lược	成为 (chéngwéi) - trở thành; 成功 (chénggōng) - thành công; 或者 (huòzhě) - hoặc là	戈 là vũ khí cán dài có mũi nhọn.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
里	bên trong, đơn vị dặm cổ	vị trí trong-ngoài; mức độ; nội dung	里面 (lǐmiàn) - bên trong; 重要 (zhòngyào) - quan trọng; 严重 (yánzhòng) - nghiêm trọng	里 = 田 trong khung, gợi phần “bên trong”.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
